Num,    Quantity,   Part,                       Description,    Link
0,      1,          Glass Pane,                 12 x 12, I took this from a thrift store picture frame    
1,      4,          Linear Bearing,             Bearing,                        
2,      2,          Belt Clamp,                 Part of timing belt kit,     
3,      2,          Timing Belt,                Part of timing belt kit,
4,      2,          Timing Belt Idler,          Part of timing belt kit,
5,      1,          Timing Belt Gear,           Part of timing belt kit,
6,      2,          Linear Rod 400mm,           8mm diameter rod,    
7,      4,          Linear Rod 500mm,           8mm diameter rod,               
8,      3,          2020 T extusion 400mm,      2020 T extrusion,       
9,      4,          2020 T extusion 500mm,      2020 T extrusion,       
10,     10,         2020 L-Bracket,             2020 Extrusion compliant L-bracket,
11,     ?,          M5 T-Nut,                   2020 extrusion compliant T-nut,
12,     4,          M5x6mm Button Head Screw,   2020 extrusion compliant screw,
13,     2,          Lead Screw,                 8mm diameter 8mm lead,
14,     2,          Lead Screw Nut,             8mm lead screw nut,
15,     4,          8mm Lead Screw Bearing,     Came with lead screw,   
16,     2,          8mm Lead Screw Coupler,     Coupler for lead screw,
17,     4,          Stepper Motor,              Nema 17,
18,     1,          Stepper Bracket,            L Bracket for Nema 17 stepper motor,
19,     1,          Power Supply,               24V 5A power supply,
20,     1,          Controller,                 Arduino Mega 2560,
21,     1,          RAMPS1.4 Board,             RAMPS1.4 board,
22,     4,          Stepper Motor Driver,       TM2209 stepper motor driver,    
23,     1,          LCD Display,                12864 LCD display,
24,     1,          DC-DC converter,            24V -> 5V cpnverter for Arduino and LCD,
25,     1,          Safety Plug,                Fused wall outlet plug,
26,     3,          Endstop Switch,             Mechanical endstop switch,
27,     1,          Hotend Assembly,            AnyCubic Kobra2 Direct Feed Hotend Assembly,
28,     1,          Hardboard panel,            2x2 foot hardboard panel,
29,     1,          Print Surface,              290x290mm PEI print surface,
30,     ?,          Zip Ties,                   ? Of a size...,
